date,flight,type,route,mc,lent_num,arrive_runway,bag_waight,mc_arrive,hatch_open,err_hatch_open,beg_unload_spo,end_unload_spo,beg_unload_sobgp,end_unload_sobgp,end_unload_tgo,err_end_unload,violation_standart,time_beg_lenta,time_end_lenta,violation_first_bag,violation_last_bag,deliver_1_beg,deliver_1_end,deliver_2_beg,deliver_2_end,deliver_3_beg,deliver_3_end,senior_loader,company,bag_status
2026-06-12,AZO 7054 ,СУ9,БАТУМИ,45,Y(А12),19:11,915,2026-06-12 19:19:00,2026-06-12 19:20:00,,2026-06-12 19:22:00,2026-06-12 19:31:00,2026-06-12 19:22:00,2026-06-12 19:31:00,2026-06-12 19:29:00,2.0,3.0,2026-06-12 19:38:00,2026-06-12 19:40:00,,0.0,2026-06-12 19:32:00,2026-06-12 19:38:00,,,,,Музафаров А. С.,GEORGIAN AIRWAYS,Выдача до 30 минут
2026-06-12,ЮТ 398 ,735,ГЕЛЕНДЖИК,9,Y(А07),19:18,674,2026-06-12 19:28:00,2026-06-12 19:29:00,,2026-06-12 19:30:00,2026-06-12 19:37:00,2026-06-12 19:30:00,2026-06-12 19:37:00,2026-06-12 19:36:00,1.0,3.0,2026-06-12 19:41:00,2026-06-12 19:46:00,,0.0,2026-06-12 19:39:00,2026-06-12 19:41:00,,,,,Рябчевский В. О.,Ютэйр,Выдача до 30 минут
2026-06-12,ЮТ 296 ,73Х,СУРГУТ,14,Y(А06),19:22,816,2026-06-12 19:33:00,2026-06-12 19:33:00,,2026-06-12 19:35:00,2026-06-12 19:43:00,2026-06-12 19:35:00,2026-06-12 19:43:00,2026-06-12 19:42:00,1.0,3.0,2026-06-12 19:49:00,2026-06-12 19:55:00,,0.0,2026-06-12 19:46:00,2026-06-12 19:49:00,,,,,Хушвактов П. З.,Ютэйр,Выдача до 30 минут
2026-06-12,УР 514 ,75В,БОДРУМ(МИЛАС),20,Y(А11),19:26,1284,2026-06-12 19:38:00,2026-06-12 19:39:00,,2026-06-12 19:43:00,2026-06-12 19:54:00,2026-06-12 19:43:00,2026-06-12 19:54:00,2026-06-12 19:51:00,3.0,2.0,2026-06-12 19:54:00,2026-06-12 20:01:00,,0.0,2026-06-12 19:51:00,2026-06-12 19:54:00,2026-06-12 19:55:00,2026-06-12 20:00:00,,,Дубинский В. Д.,FLYONE Armenia,Выдача до 30 минут
2026-06-12,PBD 736 ,73Х,ГАЗИПАША,46,Y(А13),19:28,1453,2026-06-12 19:37:00,2026-06-12 19:40:00,,2026-06-12 19:39:00,2026-06-12 19:48:00,2026-06-12 19:39:00,2026-06-12 19:48:00,2026-06-12 19:51:00,,,2026-06-12 19:54:00,2026-06-12 19:56:00,,0.0,2026-06-12 19:47:00,2026-06-12 19:51:00,2026-06-12 19:50:00,2026-06-12 19:56:00,,,Тано Б. А.,Победа,Выдача до 30 минут
2026-06-12,ХИ 9627 ,32Н,ФЕРГАНА(ФЕРГАНА ИНТЛ.),24,Y(А10),19:32,2029,2026-06-12 19:45:00,2026-06-12 19:47:00,,2026-06-12 19:48:00,2026-06-12 20:04:00,2026-06-12 19:48:00,2026-06-12 20:04:00,2026-06-12 20:03:00,1.0,2.0,2026-06-12 20:01:00,2026-06-12 20:10:00,,0.0,2026-06-12 19:57:00,2026-06-12 20:01:00,2026-06-12 20:06:00,2026-06-12 20:10:00,,,Соболь М. Ф.,UZBEKISTAN AIRWAYS,Выдача до 30 минут
2026-06-12,ЮВ 204 ,ЦР2,ТОБОЛЬСК(РЕМЕЗОВ),44,Y(А05),19:47,337,2026-06-12 19:52:00,2026-06-12 19:53:00,,2026-06-12 19:54:00,2026-06-12 19:59:00,2026-06-12 19:54:00,2026-06-12 19:59:00,2026-06-12 19:58:00,1.0,3.0,2026-06-12 20:04:00,2026-06-12 20:05:00,,0.0,2026-06-12 19:59:00,2026-06-12 20:05:00,,,,,Гаджиев Н. Т.,ЮВТ АЭРО,Выдача до 30 минут
2026-06-12,ФВ 6179 ,СУ9,САНКТ-ПЕТЕРБУРГ(ПУЛКОВО),10,Y(А04),19:52,156,2026-06-12 20:02:00,2026-06-12 20:02:00,,2026-06-12 20:04:00,2026-06-12 20:06:00,2026-06-12 20:04:00,2026-06-12 20:06:00,2026-06-12 20:07:00,,1.0,2026-06-12 20:08:00,2026-06-12 20:10:00,,0.0,2026-06-12 20:06:00,2026-06-12 20:08:00,,,,,Потапов Е. А.,Россия,Выдача до 30 минут
2026-06-12,ЮТ 576 ,734,КРАСНОДАР(ПАШКОВСКИЙ),17,Y(А05),19:56,526,2026-06-12 20:05:00,2026-06-12 20:08:00,,2026-06-12 20:08:00,2026-06-12 20:11:00,2026-06-12 20:08:00,2026-06-12 20:11:00,2026-06-12 20:13:00,,,2026-06-12 20:20:00,2026-06-12 20:21:00,,0.0,2026-06-12 20:13:00,2026-06-12 20:17:00,,,,,Рябчевский В. О.,Ютэйр,Выдача до 30 минут
2026-06-12,ЮТ 374F,73Х,МИНЕРАЛЬНЫЕ ВОДЫ,13,Y(А08),19:59,69,2026-06-12 20:11:00,2026-06-12 20:12:00,,2026-06-12 20:11:00,2026-06-12 20:12:00,2026-06-12 20:11:00,2026-06-12 20:12:00,2026-06-12 20:15:00,,1.0,,-1,,0.0,2026-06-12 20:16:00,2026-06-12 20:19:00,,,,,Шарипов К. А.,Ютэйр,Некорректно проставлены отметки
2026-06-12,ВГ 2392 ,ЯК4,ВОЛОГДА,43,0,20:17,0,2026-06-12 20:24:00,2026-06-12 20:25:00,,2026-06-12 20:28:00,2026-06-12 20:29:00,2026-06-12 20:28:00,2026-06-12 20:29:00,,,1.0,,-1,,0.0,,,,,,,Попов А. И.,Вологодское АП,Не определено
2026-06-12,J2 5830 ,320,ГЯНДЖА,19,Y(А10),20:31,2102,2026-06-12 20:41:00,2026-06-12 20:42:00,,2026-06-12 20:47:00,2026-06-12 21:03:00,2026-06-12 20:47:00,2026-06-12 21:03:00,2026-06-12 20:59:00,4.0,2.0,2026-06-12 21:00:00,2026-06-12 21:10:00,,0.0,2026-06-12 20:57:00,2026-06-12 21:01:00,2026-06-12 21:03:00,2026-06-12 21:08:00,,,Барабанов А. М.,AZAL,Выдача до 30 минут
2026-06-12,ДР 994 ,73Х,СТАМБУЛ(СТАМБУЛ НЬЮ),46,Y(А11),20:43,1028,2026-06-12 20:52:00,2026-06-12 20:55:00,,2026-06-12 20:54:00,2026-06-12 21:01:00,2026-06-12 20:55:00,2026-06-12 21:01:00,2026-06-12 21:03:00,,,2026-06-12 21:11:00,2026-06-12 21:12:00,,0.0,2026-06-12 21:04:00,2026-06-12 21:12:00,,,,,"Гаврилов В. А., Тано Б. А.",Победа,Выдача до 30 минут
2026-06-12,PBD 840 ,7С8,АНТАЛЬЯ,50,Y(А12),20:45,1261,2026-06-12 20:53:00,2026-06-12 20:57:00,1.0,2026-06-12 20:56:00,2026-06-12 21:07:00,2026-06-12 20:56:00,2026-06-12 21:07:00,2026-06-12 21:05:00,2.0,3.0,2026-06-12 21:14:00,2026-06-12 21:19:00,,0.0,2026-06-12 21:10:00,2026-06-12 21:15:00,2026-06-12 21:10:00,2026-06-12 21:16:00,,,Воробьев Т. А.,Победа,Выдача до 30 минут
2026-06-12,AZV 3006 ,763,АНТАЛЬЯ,63,Y(А09),20:48,3317,2026-06-12 21:00:00,2026-06-12 21:02:00,,2026-06-12 21:04:00,2026-06-12 22:00:00,2026-06-12 21:04:00,2026-06-12 22:00:00,2026-06-12 21:26:00,34.0,34.0,2026-06-12 22:05:00,2026-06-12 22:08:00,35.0,38.0,2026-06-12 21:04:00,2026-06-12 22:06:00,2026-06-12 21:09:00,2026-06-12 22:10:00,,,Соболь М. Ф.,АЗУР эйр,Выдача более 40 минут
2026-06-12,ХИ 9619 ,32Н,НАМАНГАН,25,Y(А10),20:54,2094,2026-06-12 21:07:00,2026-06-12 21:09:00,,2026-06-12 21:10:00,2026-06-12 21:27:00,2026-06-12 21:10:00,2026-06-12 21:27:00,2026-06-12 21:25:00,2.0,3.0,2026-06-12 21:23:00,2026-06-12 21:34:00,,0.0,2026-06-12 21:20:00,2026-06-12 21:23:00,2026-06-12 21:29:00,2026-06-12 21:32:00,,,Каламбеков У. О.,UZBEKISTAN AIRWAYS,Выдача до 30 минут
2026-06-12,AZO 7018 ,СУ9,ТБИЛИСИ(ТБИЛИСИ ИНТЛ.),51A,Y(А11),20:58,1102,2026-06-12 21:14:00,2026-06-12 21:18:00,1.0,2026-06-12 21:17:00,2026-06-12 21:27:00,2026-06-12 21:17:00,2026-06-12 21:27:00,2026-06-12 21:25:00,2.0,3.0,2026-06-12 21:38:00,2026-06-12 21:39:00,,0.0,2026-06-12 21:30:00,2026-06-12 21:36:00,,,,,Дубинский В. Д.,GEORGIAN AIRWAYS,Выдача до 30 минут
2026-06-12,DV 815 ,7М8,АЛМАТЫ(АЛМАТЫ ИНТЛ.),18,Y(А13),21:00,888,2026-06-12 21:11:00,2026-06-12 21:12:00,,2026-06-12 21:14:00,2026-06-12 21:19:00,2026-06-12 21:14:00,2026-06-12 21:19:00,2026-06-12 21:21:00,,,2026-06-12 21:30:00,2026-06-12 21:32:00,,0.0,2026-06-12 21:24:00,2026-06-12 21:29:00,,,,,"Гаджиев Н. Т., Потапов Е. А.",SCAT Airlines,Выдача до 30 минут
2026-06-12,ДР 466 ,73Х,УЛЬЯНОВСК(БАРАТАЕВКА),47,Y(А05),21:07,231,-1,,,2026-06-12 21:20:00,2026-06-12 21:22:00,2026-06-12 21:20:00,2026-06-12 21:22:00,,,,2026-06-12 21:32:00,2026-06-12 21:33:00,,0.0,2026-06-12 21:24:00,2026-06-12 21:32:00,,,,,Табаров М.,Победа,Некорректно проставлены отметки
2026-06-12,ХИ 613 ,788,ТАШКЕНТ(ТАШКЕНТ ИНТЛ.),23,Y(А09),21:09,5068,2026-06-12 21:23:00,2026-06-12 21:27:00,1.0,2026-06-12 21:31:00,2026-06-12 21:54:00,2026-06-12 21:31:00,2026-06-12 21:54:00,2026-06-12 22:01:00,,,2026-06-12 21:42:00,2026-06-12 22:06:00,,13.0,2026-06-12 21:31:00,2026-06-12 21:54:00,2026-06-12 21:30:00,2026-06-12 21:53:00,2026-06-12 21:19:00,2026-06-12 22:06:00,Хушвактов П. З.,UZBEKISTAN AIRWAYS,Выдача более 40 минут
2026-06-12,ДР 738 ,7С8,СТАМБУЛ(СТАМБУЛ НЬЮ),21,Y(А12),21:13,1269,2026-06-12 21:23:00,2026-06-12 21:28:00,2.0,2026-06-12 21:27:00,2026-06-12 21:36:00,2026-06-12 21:27:00,2026-06-12 21:36:00,2026-06-12 21:35:00,1.0,1.0,2026-06-12 21:39:00,2026-06-12 21:45:00,,0.0,2026-06-12 21:40:00,2026-06-12 21:43:00,2026-06-12 21:37:00,2026-06-12 21:42:00,,,Давлатов Б. Ч.,Победа,Выдача до 30 минут
2026-06-12,NE 646 ,320,ШАРМ ЭЛЬ ШЕЙХ(ШАРМ ЭЛЬ ШЕЙХ ИНТЛ.),29,Y(А10),21:18,1365,2026-06-12 21:32:00,2026-06-12 21:34:00,,2026-06-12 21:35:00,2026-06-12 21:46:00,2026-06-12 21:35:00,2026-06-12 21:46:00,2026-06-12 21:45:00,1.0,2.0,2026-06-12 21:45:00,2026-06-12 21:51:00,,0.0,2026-06-12 21:43:00,2026-06-12 21:46:00,2026-06-12 21:48:00,2026-06-12 21:50:00,,,Музафаров А. С.,Nesma Airlines,Выдача до 30 минут
2026-06-12,ДР 768 ,73Х,МИНСК(МИНСК ИНТЛ.),48,Y(А13),21:26,438,2026-06-12 21:34:00,2026-06-12 21:35:00,,2026-06-12 21:39:00,2026-06-12 21:44:00,2026-06-12 21:39:00,2026-06-12 21:44:00,2026-06-12 21:41:00,3.0,2.0,2026-06-12 21:52:00,2026-06-12 21:54:00,,0.0,2026-06-12 21:45:00,2026-06-12 21:52:00,,,,,Попов А. И.,Победа,Выдача до 30 минут
2026-06-12,ЮТ 810 ,73Х,САМАРКАНД(САМАРКАНД ИНТЛ.),20,Y(А12),21:44,689,2026-06-12 21:51:00,2026-06-12 21:53:00,,2026-06-12 21:54:00,2026-06-12 22:00:00,2026-06-12 21:54:00,2026-06-12 22:00:00,2026-06-12 22:00:00,,1.0,2026-06-12 22:16:00,2026-06-12 22:17:00,5.0,0.0,2026-06-12 22:02:00,2026-06-12 22:06:00,,,,,Гаврилов В. А.,Ютэйр,Выдача до 30 минут
2026-06-12,ФВ 6181 ,СУ9,САНКТ-ПЕТЕРБУРГ(ПУЛКОВО),8,Y(А04),21:50,101,2026-06-12 22:04:00,2026-06-12 22:05:00,,2026-06-12 22:06:00,2026-06-12 22:07:00,2026-06-12 22:06:00,2026-06-12 22:07:00,2026-06-12 22:09:00,,,2026-06-12 22:04:00,2026-06-12 22:18:00,,0.0,2026-06-12 22:08:00,2026-06-12 22:11:00,,,,,Дубинский В. Д.,Россия,Выдача до 30 минут
2026-06-12,PBD 860 ,73Х,АНТАЛЬЯ,49,Y(А11),21:59,1474,2026-06-12 22:11:00,2026-06-12 22:12:00,,2026-06-12 22:13:00,2026-06-12 22:25:00,2026-06-12 22:13:00,2026-06-12 22:25:00,2026-06-12 22:25:00,,2.0,2026-06-12 22:28:00,2026-06-12 22:37:00,,0.0,2026-06-12 22:21:00,2026-06-12 22:28:00,2026-06-12 22:27:00,2026-06-12 22:32:00,,,Воробьев Т. А.,Победа,Выдача до 30 минут
2026-06-12,ЯК 686 ,73Х,САМАРА(КУРУМОЧ),12,Y(А05),22:03,81,2026-06-12 22:13:00,2026-06-12 22:15:00,,2026-06-12 22:20:00,2026-06-12 22:21:00,2026-06-12 22:20:00,2026-06-12 22:21:00,2026-06-12 22:18:00,3.0,,2026-06-12 22:27:00,2026-06-12 22:28:00,,0.0,2026-06-12 22:24:00,2026-06-12 22:26:00,,,,,Тано Б. А.,Якутия,Выдача до 30 минут
2026-06-12,ЮТ 784 ,73Х,АНТАЛЬЯ,11,Y(А12),22:15,1896,2026-06-12 22:26:00,2026-06-12 22:29:00,,2026-06-12 22:29:00,2026-06-12 22:44:00,2026-06-12 22:29:00,2026-06-12 22:44:00,2026-06-12 22:43:00,1.0,2.0,2026-06-12 22:42:00,2026-06-12 22:52:00,,0.0,2026-06-12 22:37:00,2026-06-12 22:42:00,2026-06-12 22:48:00,2026-06-12 22:52:00,,,Шарипов К. А.,Ютэйр,Выдача до 30 минут
2026-06-12,ДР 190 ,73Х,МАХАЧКАЛА,44,Y(А07),22:18,459,-1,,,2026-06-12 22:34:00,2026-06-12 22:39:00,2026-06-12 22:34:00,2026-06-12 22:39:00,,,2.0,2026-06-12 22:44:00,2026-06-12 22:46:00,,0.0,2026-06-12 22:42:00,2026-06-12 22:45:00,,,,,Попов А. И.,Победа,Некорректно проставлены отметки
2026-06-12,ДР 194 ,73Х,НАЛЬЧИК,46,Y(А06),22:23,722,2026-06-12 22:32:00,2026-06-12 22:34:00,,2026-06-12 22:34:00,2026-06-12 22:39:00,2026-06-12 22:34:00,2026-06-12 22:39:00,2026-06-12 22:41:00,,,2026-06-12 22:46:00,2026-06-12 22:49:00,,0.0,2026-06-12 22:43:00,2026-06-12 22:47:00,,,,,Давлатов Б. Ч.,Победа,Выдача до 30 минут
2026-06-12,ФВ 6185 ,СУ9,САНКТ-ПЕТЕРБУРГ(ПУЛКОВО),9,Y(А04),22:27,185,2026-06-12 22:39:00,2026-06-12 22:39:00,,2026-06-12 22:41:00,2026-06-12 22:43:00,2026-06-12 22:41:00,2026-06-12 22:43:00,2026-06-12 22:44:00,,1.0,2026-06-12 22:47:00,2026-06-12 22:48:00,,0.0,2026-06-12 22:44:00,2026-06-12 22:47:00,,,,,Каламбеков У. О.,Россия,Выдача до 30 минут
2026-06-12,NE 602 ,320,ХУРГАДА(ХУРГАДА ИНТЛ.),21,Y(А11),22:47,1706,2026-06-12 23:00:00,2026-06-12 23:03:00,,2026-06-12 23:03:00,2026-06-12 23:23:00,2026-06-12 23:03:00,2026-06-12 23:23:00,2026-06-12 23:15:00,8.0,9.0,2026-06-12 23:15:00,2026-06-12 23:28:00,,0.0,2026-06-12 23:10:00,2026-06-12 23:17:00,2026-06-12 23:25:00,2026-06-12 23:27:00,,,Барабанов А. М.,Nesma Airlines,Выдача до 30 минут
2026-06-12,J2 805 ,320,БАКУ(ИМ. ГЕЙДАРА АЛИЕВА),24,Y(А12),22:54,1913,2026-06-12 23:05:00,2026-06-12 23:09:00,1.0,2026-06-12 23:08:00,2026-06-12 23:23:00,2026-06-12 23:10:00,2026-06-12 23:23:00,2026-06-12 23:22:00,1.0,,2026-06-12 23:23:00,2026-06-12 23:30:00,,0.0,2026-06-12 23:19:00,2026-06-12 23:23:00,2026-06-12 23:23:00,2026-06-12 23:27:00,,,"Музафаров А. С., Поляков К. Н.",AZAL,Выдача до 30 минут
2026-06-12,TK 411 ,333,СТАМБУЛ(СТАМБУЛ НЬЮ),22,Y(А10),23:29,4747,2026-06-12 23:46:00,2026-06-12 23:51:00,2.0,2026-06-12 23:51:00,2026-06-13 00:07:00,2026-06-12 23:51:00,2026-06-13 00:07:00,2026-06-13 00:22:00,,,2026-06-13 00:11:00,2026-06-13 00:17:00,5.0,1.0,2026-06-12 23:53:00,2026-06-13 00:15:00,2026-06-12 23:57:00,2026-06-13 00:16:00,,,Демчук Д. П.,Turkish Airlines,Выдача от 30 до 40 минут
2026-06-12,DV 813 ,738,АСТАНА(НУРСУЛТАН НАЗАРБАЕВ),25,Y(А13),23:37,843,2026-06-12 23:53:00,2026-06-12 23:54:00,,2026-06-12 23:57:00,2026-06-13 00:04:00,2026-06-12 23:57:00,2026-06-13 00:04:00,2026-06-13 00:03:00,1.0,1.0,2026-06-13 00:10:00,2026-06-13 00:11:00,,0.0,2026-06-13 00:06:00,2026-06-13 00:11:00,,,,,Табаров М.,SCAT Airlines,Выдача до 30 минут
2026-06-12,PC 1580 ,320,АНТАЛЬЯ,37A,Y(А10),23:40,2111,2026-06-12 23:50:00,2026-06-12 23:53:00,,2026-06-12 23:53:00,2026-06-13 00:08:00,2026-06-12 23:53:00,2026-06-13 00:08:00,2026-06-13 00:08:00,,1.0,2026-06-13 00:29:00,2026-06-13 00:52:00,9.0,32.0,2026-06-13 00:00:00,2026-06-13 00:04:00,2026-06-13 00:03:00,2026-06-13 00:17:00,,,Омурбе У. Б.,Pegasus,Выдача более 40 минут
2026-06-12,4S 311 ,7С8,ШАРМ ЭЛЬ ШЕЙХ(ШАРМ ЭЛЬ ШЕЙХ ИНТЛ.),18,Y(А10),23:43,2232,2026-06-12 23:57:00,2026-06-12 23:58:00,,2026-06-13 00:01:00,2026-06-13 00:18:00,2026-06-13 00:01:00,2026-06-13 00:18:00,2026-06-13 00:16:00,2.0,2.0,2026-06-13 00:16:00,2026-06-13 00:28:00,,1.0,2026-06-13 00:08:00,2026-06-13 00:15:00,2026-06-13 00:16:00,2026-06-13 00:28:00,,,Гаврилов В. А.,Red Sea,Выдача от 30 до 40 минут
2026-06-12,ЮТ 358 ,73Х,САМАРА(КУРУМОЧ),13,Y(А05),23:52,590,2026-06-13 00:06:00,2026-06-13 00:07:00,,2026-06-13 00:10:00,2026-06-13 00:18:00,2026-06-13 00:10:00,2026-06-13 00:18:00,2026-06-13 00:14:00,4.0,4.0,2026-06-13 00:24:00,2026-06-13 00:26:00,,0.0,2026-06-13 00:19:00,2026-06-13 00:24:00,,,,,Гаджиев Н. Т.,Ютэйр,Выдача до 30 минут
2026-06-12,ЮТ 802 ,73Х,ДУШАНБЕ(ДУШАНБЕ ИНТЛ.),5,Y(А09),23:54,2379,2026-06-13 00:09:00,2026-06-13 00:13:00,1.0,2026-06-13 00:11:00,2026-06-13 00:34:00,2026-06-13 00:11:00,2026-06-13 00:34:00,2026-06-13 00:29:00,5.0,7.0,2026-06-13 00:21:00,2026-06-13 00:46:00,,7.0,2026-06-13 00:17:00,2026-06-13 00:21:00,2026-06-13 00:36:00,2026-06-13 00:41:00,,,Соболь М. Ф.,Ютэйр,Выдача от 30 до 40 минут
2026-06-12,ДР 168 ,73Х,МИНЕРАЛЬНЫЕ ВОДЫ,46,Y(А08),23:56,560,2026-06-13 00:03:00,2026-06-13 00:05:00,,2026-06-13 00:06:00,2026-06-13 00:13:00,2026-06-13 00:06:00,2026-06-13 00:13:00,2026-06-13 00:11:00,2.0,3.0,2026-06-13 00:21:00,2026-06-13 00:23:00,,0.0,2026-06-13 00:16:00,2026-06-13 00:22:00,,,,,Галушко В.,Победа,Выдача до 30 минут
2026-06-13,TK 409 ,321,СТАМБУЛ(СТАМБУЛ НЬЮ),20,Y(А09),00:00,3128,2026-06-13 00:11:00,2026-06-13 00:13:00,,2026-06-13 00:20:00,2026-06-13 00:31:00,2026-06-13 00:20:00,2026-06-13 00:31:00,2026-06-13 00:36:00,,,2026-06-13 00:33:00,2026-06-13 00:52:00,2.0,11.0,2026-06-13 00:18:00,2026-06-13 00:34:00,2026-06-13 00:18:00,2026-06-13 00:53:00,,,Попов А. И.,Turkish Airlines,Выдача более 40 минут
2026-06-13,ДР 968 ,73Х,МИНСК(МИНСК ИНТЛ.),50,Y(А13),00:02,356,2026-06-13 00:12:00,2026-06-13 00:15:00,,2026-06-13 00:15:00,2026-06-13 00:19:00,2026-06-13 00:15:00,2026-06-13 00:19:00,2026-06-13 00:18:00,1.0,2.0,2026-06-13 00:30:00,2026-06-13 00:31:00,,0.0,2026-06-13 00:21:00,2026-06-13 00:27:00,,,,,Каламбеков У. О.,Победа,Выдача до 30 минут
2026-06-13,ДР 206 ,7С8,САНКТ-ПЕТЕРБУРГ(ПУЛКОВО),48,Y(А04),00:05,146,-1,,,2026-06-13 00:21:00,2026-06-13 00:22:00,2026-06-13 00:21:00,2026-06-13 00:22:00,,,,2026-06-13 00:29:00,2026-06-13 00:30:00,,0.0,2026-06-13 00:24:00,2026-06-13 00:31:00,,,,,Потапов Е. А.,Победа,Некорректно проставлены отметки
2026-06-13,ХИ 605 ,320,САМАРКАНД(САМАРКАНД ИНТЛ.),26,Y(А11),00:07,1359,2026-06-13 00:21:00,2026-06-13 00:21:00,,2026-06-13 00:24:00,2026-06-13 00:34:00,2026-06-13 00:24:00,2026-06-13 00:34:00,2026-06-13 00:34:00,,1.0,2026-06-13 00:34:00,2026-06-13 00:40:00,,0.0,2026-06-13 00:30:00,2026-06-13 00:34:00,2026-06-13 00:27:00,2026-06-13 00:39:00,,,Давлатов Б. Ч.,UZBEKISTAN AIRWAYS,Выдача до 30 минут
2026-06-13,J2 809 ,76В,БАКУ(ИМ. ГЕЙДАРА АЛИЕВА),19,Y(А10),00:10,2503,2026-06-13 00:23:00,2026-06-13 00:23:00,,2026-06-13 00:27:00,2026-06-13 00:39:00,2026-06-13 00:27:00,2026-06-13 00:39:00,2026-06-13 00:44:00,,,2026-06-13 00:45:00,2026-06-13 00:50:00,2.0,0.0,2026-06-13 00:27:00,2026-06-13 00:45:00,2026-06-13 00:22:00,2026-06-13 00:47:00,,,Поляков К. Н.,AZAL,Выдача до 30 минут
2026-06-13,TK 3178 ,321,ДАЛАМАН,29,Y(А09),00:14,2534,2026-06-13 00:33:00,2026-06-13 00:39:00,3.0,2026-06-13 00:36:00,2026-06-13 00:50:00,2026-06-13 00:36:00,2026-06-13 00:50:00,2026-06-13 00:54:00,,,2026-06-13 00:55:00,2026-06-13 01:05:00,2.0,2.0,2026-06-13 00:20:00,2026-06-13 00:58:00,2026-06-13 00:33:00,2026-06-13 01:03:00,,,Шарипов К. А.,Turkish Airlines,Выдача от 30 до 40 минут
2026-06-13,PC 1576 ,32Щ,АНТАЛЬЯ,27,Y(А10),00:18,2331,2026-06-13 00:31:00,2026-06-13 00:33:00,,2026-06-13 00:39:00,2026-06-13 00:54:00,2026-06-13 00:39:00,2026-06-13 00:54:00,2026-06-13 00:51:00,3.0,,2026-06-13 00:54:00,2026-06-13 00:59:00,3.0,0.0,2026-06-13 00:44:00,2026-06-13 00:52:00,2026-06-13 00:49:00,2026-06-13 01:04:00,,,Музафаров А. С.,Pegasus,Выдача до 30 минут
2026-06-13,ЮТ 1376 ,73Е,СЫКТЫВКАР,10,Y(А07),00:20,224,2026-06-13 00:27:00,2026-06-13 00:39:00,9.0,2026-06-13 00:36:00,2026-06-13 00:38:00,2026-06-13 00:36:00,2026-06-13 00:38:00,2026-06-13 00:32:00,6.0,1.0,2026-06-13 00:42:00,2026-06-13 00:44:00,,0.0,2026-06-13 00:39:00,2026-06-13 00:42:00,,,,,Хушвактов П. З.,Ютэйр,Выдача до 30 минут
2026-06-13,TK 3002 ,321,АНТАЛЬЯ,24,Y(А12),00:23,1927,2026-06-13 00:39:00,2026-06-13 00:39:00,,2026-06-13 00:40:00,2026-06-13 00:51:00,2026-06-13 00:40:00,2026-06-13 00:51:00,2026-06-13 00:56:00,,,2026-06-13 00:53:00,2026-06-13 00:54:00,,0.0,2026-06-13 00:32:00,2026-06-13 00:59:00,,,,,Барабанов А. М.,Turkish Airlines,Выдача до 30 минут
2026-06-13,VF 275 ,73Х,СТАМБУЛ(САБИХА ГОКЦЕН),36,Y(А10),00:26,2239,2026-06-13 00:41:00,2026-06-13 00:48:00,4.0,2026-06-13 00:42:00,2026-06-13 01:06:00,2026-06-13 00:42:00,2026-06-13 01:06:00,2026-06-13 01:00:00,6.0,9.0,2026-06-13 01:00:00,2026-06-13 01:15:00,,4.0,2026-06-13 00:50:00,2026-06-13 00:59:00,2026-06-13 01:08:00,2026-06-13 01:15:00,,,Воробьев Т. А.,AJET,Выдача от 30 до 40 минут
2026-06-13,TK 211 ,321,АНТАЛЬЯ,30,Y(А09),00:31,2509,2026-06-13 00:43:00,2026-06-13 00:45:00,,2026-06-13 00:49:00,2026-06-13 01:04:00,2026-06-13 00:49:00,2026-06-13 01:04:00,2026-06-13 01:04:00,,,2026-06-13 01:09:00,2026-06-13 01:12:00,6.0,0.0,2026-06-13 00:47:00,2026-06-13 01:04:00,2026-06-13 00:49:00,2026-06-13 01:14:00,,,Дубинский В. Д.,Turkish Airlines,Выдача до 30 минут
2026-06-13,TK 421 ,333,СТАМБУЛ(СТАМБУЛ НЬЮ),23,Y(А09),00:35,4543,2026-06-13 00:55:00,2026-06-13 00:58:00,,2026-06-13 01:03:00,2026-06-13 01:17:00,2026-06-13 01:03:00,2026-06-13 01:17:00,2026-06-13 01:29:00,,,2026-06-13 01:15:00,2026-06-13 01:27:00,,2.0,2026-06-13 01:03:00,2026-06-13 01:29:00,2026-06-13 00:48:00,2026-06-13 01:27:00,,,Рябчевский В. О.,Turkish Airlines,Выдача от 30 до 40 минут
2026-06-13,ФВ 6189 ,СУ9,САНКТ-ПЕТЕРБУРГ(ПУЛКОВО),8,Y(А04),00:38,113,2026-06-13 00:52:00,2026-06-13 00:54:00,,2026-06-13 00:55:00,2026-06-13 00:57:00,2026-06-13 00:55:00,2026-06-13 00:57:00,2026-06-13 00:57:00,,1.0,2026-06-13 00:59:00,2026-06-13 01:00:00,,0.0,2026-06-13 00:57:00,2026-06-13 00:59:00,,,,,Каламбеков У. О.,Россия,Выдача до 30 минут
2026-06-13,PC 1521 ,32Н,ИЗМИР(АДНАН МЕНДЕРЕС),37,Y(А10),00:42,2179,2026-06-13 00:54:00,2026-06-13 00:57:00,,2026-06-13 00:57:00,2026-06-13 01:13:00,2026-06-13 00:57:00,2026-06-13 01:13:00,2026-06-13 01:13:00,,1.0,2026-06-13 01:14:00,2026-06-13 01:27:00,,3.0,2026-06-13 01:06:00,2026-06-13 01:12:00,2026-06-13 01:16:00,2026-06-13 01:28:00,,,Галушко В.,Pegasus,Выдача от 30 до 40 минут
