date,flight,type,route,mc,lent_num,arrive_runway,bag_waight,mc_arrive,hatch_open,err_hatch_open,beg_unload_spo,end_unload_spo,beg_unload_sobgp,end_unload_sobgp,end_unload_tgo,err_end_unload,violation_standart,time_beg_lenta,time_end_lenta,violation_first_bag,violation_last_bag,deliver_1_beg,deliver_1_end,deliver_2_beg,deliver_2_end,deliver_3_beg,deliver_3_end,senior_loader,company,bag_status
2026-06-17,ЖГ 936 ,73Х,ТБИЛИСИ(ТБИЛИСИ ИНТЛ.),30,Y(А10),11:24,1684,2026-06-17 11:31:00,2026-06-17 11:33:00,,2026-06-17 11:33:00,2026-06-17 11:44:00,2026-06-17 11:33:00,2026-06-17 11:44:00,2026-06-17 11:46:00,,,2026-06-17 11:42:00,2026-06-17 11:49:00,,0.0,2026-06-17 11:39:00,2026-06-17 11:42:00,2026-06-17 11:46:00,2026-06-17 11:47:00,,,Фартушный А. И.,GEORGIAN AIRWAYS,Выдача до 30 минут
2026-06-17,ЮТ 446 ,735,КОГАЛЫМ,10,Y(А05),11:44,448,2026-06-17 11:53:00,2026-06-17 11:54:00,,2026-06-17 12:07:00,2026-06-17 12:12:00,2026-06-17 12:07:00,2026-06-17 12:12:00,2026-06-17 12:00:00,12.0,2.0,2026-06-17 12:14:00,2026-06-17 12:15:00,1.0,0.0,2026-06-17 12:12:00,2026-06-17 12:15:00,,,,,Острых В. А.,Ютэйр,Выдача до 30 минут
2026-06-17,ДР 732 ,73Х,НУКУС,48,Y(А11),11:49,873,2026-06-17 11:57:00,2026-06-17 11:59:00,,2026-06-17 12:00:00,2026-06-17 12:10:00,2026-06-17 12:00:00,2026-06-17 12:10:00,2026-06-17 12:07:00,3.0,4.0,2026-06-17 12:17:00,2026-06-17 12:20:00,,0.0,2026-06-17 12:13:00,2026-06-17 12:17:00,,,,,Ушаков Г. А.,Победа,Выдача до 30 минут
2026-06-17,ЮТ 560 ,73Х,МАХАЧКАЛА,21,Y(А07),11:58,490,2026-06-17 12:11:00,2026-06-17 12:14:00,,2026-06-17 12:14:00,2026-06-17 12:18:00,2026-06-17 12:14:00,2026-06-17 12:18:00,2026-06-17 12:18:00,,1.0,2026-06-17 12:24:00,2026-06-17 12:25:00,,0.0,2026-06-17 12:18:00,2026-06-17 12:22:00,,,,,Фаёзов А. Р.,Ютэйр,Выдача до 30 минут
2026-06-17,ДР 466 ,73Х,УЛЬЯНОВСК(БАРАТАЕВКА),49,Y(А05),12:11,157,2026-06-17 12:20:00,2026-06-17 12:22:00,,2026-06-17 12:23:00,2026-06-17 12:24:00,2026-06-17 12:23:00,2026-06-17 12:24:00,2026-06-17 12:25:00,,,2026-06-17 12:34:00,2026-06-17 12:35:00,,0.0,2026-06-17 12:32:00,2026-06-17 12:35:00,,,,,Михайлов М. С.,Победа,Выдача до 30 минут
2026-06-17,J2 807 ,76В,БАКУ(ИМ. ГЕЙДАРА АЛИЕВА),19,Y(А10),12:21,1847,2026-06-17 12:31:00,2026-06-17 12:33:00,,2026-06-17 12:34:00,2026-06-17 12:50:00,2026-06-17 12:34:00,2026-06-17 12:50:00,2026-06-17 12:47:00,3.0,4.0,2026-06-17 12:56:00,2026-06-17 12:57:00,5.0,0.0,2026-06-17 12:41:00,2026-06-17 12:57:00,,,,,Прохачев И. А.,AZAL,Выдача до 30 минут
2026-06-17,TK 413 ,332,СТАМБУЛ(СТАМБУЛ НЬЮ),23,Y(А09),12:31,2606,2026-06-17 12:42:00,2026-06-17 12:45:00,,2026-06-17 12:43:00,2026-06-17 13:00:00,2026-06-17 12:44:00,2026-06-17 13:00:00,2026-06-17 13:03:00,,,2026-06-17 12:59:00,2026-06-17 13:03:00,,0.0,2026-06-17 12:44:00,2026-06-17 13:00:00,2026-06-17 12:48:00,2026-06-17 13:04:00,,,"Аганин А. А., Фартушный А. И.",Turkish Airlines,Выдача до 30 минут
2026-06-17,ФВ 6007 ,СУ9,САНКТ-ПЕТЕРБУРГ(ПУЛКОВО),9,Y(А04),12:37,69,2026-06-17 12:48:00,2026-06-17 12:50:00,,2026-06-17 12:51:00,2026-06-17 12:53:00,2026-06-17 12:51:00,2026-06-17 12:53:00,2026-06-17 12:52:00,1.0,2.0,2026-06-17 12:55:00,2026-06-17 12:56:00,,0.0,2026-06-17 12:53:00,2026-06-17 12:55:00,,,,,Острых В. А.,Россия,Выдача до 30 минут
2026-06-17,ЮТ 358B,73Х,САМАРА(КУРУМОЧ),15,Y(А05),12:47,284,2026-06-17 12:56:00,2026-06-17 12:56:00,,2026-06-17 12:58:00,2026-06-17 13:02:00,2026-06-17 12:58:00,2026-06-17 13:02:00,2026-06-17 13:02:00,,2.0,2026-06-17 13:09:00,2026-06-17 13:10:00,,0.0,2026-06-17 13:03:00,2026-06-17 13:10:00,,,,,Попов Д. В.,Ютэйр,Выдача до 30 минут
2026-06-17,TK 3070 ,32Б,АНТАЛЬЯ,22,Y(А11),12:49,2039,2026-06-17 13:00:00,2026-06-17 13:01:00,,2026-06-17 13:05:00,2026-06-17 13:19:00,2026-06-17 13:05:00,2026-06-17 13:19:00,2026-06-17 13:18:00,1.0,,2026-06-17 13:20:00,2026-06-17 13:21:00,,0.0,2026-06-17 13:18:00,2026-06-17 13:26:00,,,,,Рустамов М. А.,Turkish Airlines,Выдача до 30 минут
